Generating pseudo labels for art data
pseudo label correct rate is 0.7124021425628347
Data statistic {'clipart': 4365, 'product': 4439, 'real_world': 4357}
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
PromptGenerator =================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
name: ctx_cls, shape torch.Size([65, 16, 512]), require grad: True
name: ctx_target, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.0, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.1, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.2, shape torch.Size([1, 16, 512]), require grad: True
Best accuracy so far: 0.7508333333333334, step 79, accuracy 0.7483333333333333
Best accuracy so far: 0.7508333333333334, step 80, accuracy 0.7470833333333333
Best accuracy so far: 0.7508333333333334, step 81, accuracy 0.745
Best accuracy so far: 0.7508333333333334, step 82, accuracy 0.7458333333333333
Best accuracy so far: 0.7508333333333334, step 83, accuracy 0.74875
Best accuracy so far: 0.7508333333333334, step 84, accuracy 0.7445833333333334
Best accuracy so far: 0.7508333333333334, step 85, accuracy 0.7483333333333333
Best accuracy so far: 0.7508333333333334, step 86, accuracy 0.7483333333333333
Best accuracy so far: 0.7508333333333334, step 87, accuracy 0.74625
Best accuracy so far: 0.7508333333333334, step 88, accuracy 0.7475
Best accuracy so far: 0.7508333333333334, step 89, accuracy 0.7479166666666667
Best accuracy so far: 0.7508333333333334, step 90, accuracy 0.74375
Best accuracy so far: 0.7508333333333334, step 91, accuracy 0.7408333333333333
Best accuracy so far: 0.7508333333333334, step 92, accuracy 0.74375
Best accuracy so far: 0.7508333333333334, step 93, accuracy 0.74375
Best accuracy so far: 0.7508333333333334, step 94, accuracy 0.7466666666666667
Best accuracy so far: 0.7508333333333334, step 95, accuracy 0.7479166666666667
Best accuracy so far: 0.7508333333333334, step 96, accuracy 0.7433333333333333
Best accuracy so far: 0.7508333333333334, step 97, accuracy 0.7458333333333333
Best accuracy so far: 0.7508333333333334, step 98, accuracy 0.7466666666666667
Best accuracy so far: 0.7508333333333334, step 99, accuracy 0.7458333333333333
Best accuracy so far: 0.7508333333333334, step 100, accuracy 0.7429166666666667
Best accuracy so far: 0.7508333333333334, step 101, accuracy 0.7483333333333333
Best accuracy so far: 0.7508333333333334, step 102, accuracy 0.745
Best accuracy so far: 0.7508333333333334, step 103, accuracy 0.7479166666666667
Best accuracy so far: 0.7508333333333334, step 104, accuracy 0.7458333333333333
Best accuracy so far: 0.7508333333333334, step 105, accuracy 0.7491666666666666
Best accuracy so far: 0.7508333333333334, step 106, accuracy 0.7466666666666667
Best accuracy so far: 0.7508333333333334, step 107, accuracy 0.7504166666666666
Best accuracy so far: 0.7508333333333334, step 108, accuracy 0.7495833333333334
Best accuracy so far: 0.7508333333333334, step 109, accuracy 0.7491666666666666
Best accuracy so far: 0.7508333333333334, step 110, accuracy 0.7508333333333334
Best accuracy so far: 0.7508333333333334, step 111, accuracy 0.7504166666666666
Best accuracy so far: 0.75625, step 112, accuracy 0.75625
Best accuracy so far: 0.75625, step 113, accuracy 0.7525
Best accuracy so far: 0.7570833333333333, step 114, accuracy 0.7570833333333333
Best accuracy so far: 0.7570833333333333, step 115, accuracy 0.7545833333333334
Best accuracy so far: 0.7570833333333333, step 116, accuracy 0.7525
Best accuracy so far: 0.7570833333333333, step 117, accuracy 0.7491666666666666
Best accuracy so far: 0.7570833333333333, step 118, accuracy 0.7516666666666667
Best accuracy so far: 0.7570833333333333, step 119, accuracy 0.7554166666666666
Best accuracy so far: 0.7570833333333333, step 120, accuracy 0.75
Best accuracy so far: 0.7570833333333333, step 121, accuracy 0.7495833333333334
Best accuracy so far: 0.7570833333333333, step 122, accuracy 0.75375
