Generating pseudo labels for product data
pseudo label correct rate is 0.8150484343320568
Data statistic {'art': 2427, 'clipart': 4365, 'real_world': 4357}
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
PromptGenerator =================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
name: ctx_cls, shape torch.Size([65, 16, 512]), require grad: True
name: ctx_target, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.0, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.1, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.2, shape torch.Size([1, 16, 512]), require grad: True
Best accuracy so far: 0.8999094202898551, step 76, accuracy 0.8890398550724637
Best accuracy so far: 0.8999094202898551, step 77, accuracy 0.8870018115942029
Best accuracy so far: 0.8999094202898551, step 78, accuracy 0.886322463768116
Best accuracy so far: 0.8999094202898551, step 79, accuracy 0.8860960144927537
Best accuracy so far: 0.8999094202898551, step 80, accuracy 0.8831521739130435
Best accuracy so far: 0.8999094202898551, step 81, accuracy 0.8824728260869565
Best accuracy so far: 0.8999094202898551, step 82, accuracy 0.8826992753623188
Best accuracy so far: 0.8999094202898551, step 83, accuracy 0.8817934782608695
Best accuracy so far: 0.8999094202898551, step 84, accuracy 0.8799818840579711
Best accuracy so far: 0.8999094202898551, step 85, accuracy 0.8774909420289855
Best accuracy so far: 0.8999094202898551, step 86, accuracy 0.8777173913043478
Best accuracy so far: 0.8999094202898551, step 87, accuracy 0.8756793478260869
Best accuracy so far: 0.8999094202898551, step 88, accuracy 0.8720561594202898
Best accuracy so far: 0.8999094202898551, step 89, accuracy 0.873641304347826
Best accuracy so far: 0.8999094202898551, step 90, accuracy 0.8729619565217391
Best accuracy so far: 0.8999094202898551, step 91, accuracy 0.875
Best accuracy so far: 0.8999094202898551, step 92, accuracy 0.8745471014492754
Best accuracy so far: 0.8999094202898551, step 93, accuracy 0.8720561594202898
Best accuracy so far: 0.8999094202898551, step 94, accuracy 0.8731884057971014
Best accuracy so far: 0.8999094202898551, step 95, accuracy 0.8722826086956522
Best accuracy so far: 0.8999094202898551, step 96, accuracy 0.8686594202898551
Best accuracy so far: 0.8999094202898551, step 97, accuracy 0.8679800724637681
Best accuracy so far: 0.8999094202898551, step 98, accuracy 0.8691123188405797
Best accuracy so far: 0.8999094202898551, step 99, accuracy 0.8639039855072463
Best accuracy so far: 0.8999094202898551, step 100, accuracy 0.8641304347826086
Best accuracy so far: 0.8999094202898551, step 101, accuracy 0.8641304347826086
Best accuracy so far: 0.8999094202898551, step 102, accuracy 0.8620923913043478
Best accuracy so far: 0.8999094202898551, step 103, accuracy 0.8641304347826086
Best accuracy so far: 0.8999094202898551, step 104, accuracy 0.865036231884058
Best accuracy so far: 0.8999094202898551, step 105, accuracy 0.8643568840579711
Best accuracy so far: 0.8999094202898551, step 106, accuracy 0.8629981884057971
Best accuracy so far: 0.8999094202898551, step 107, accuracy 0.8645833333333334
Best accuracy so far: 0.8999094202898551, step 108, accuracy 0.8648097826086957
Best accuracy so far: 0.8999094202898551, step 109, accuracy 0.8639039855072463
