Generating pseudo labels for c data
pseudo label correct rate is 0.8783333333333333
Data statistic {'p': 591, 'b': 600, 'i': 600}
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          106,496
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 131,072
Trainable params: 131,072
Non-trainable params: 0
=================================================================
PromptGenerator =================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          106,496
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 131,072
Trainable params: 131,072
Non-trainable params: 0
=================================================================
name: ctx_cls, shape torch.Size([12, 16, 512]), require grad: True
name: ctx_target, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.0, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.1, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.2, shape torch.Size([1, 16, 512]), require grad: True
Best accuracy so far: 0.9774305555555556, step 65, accuracy 0.9253472222222222
Best accuracy so far: 0.9774305555555556, step 66, accuracy 0.9288194444444444
Best accuracy so far: 0.9774305555555556, step 67, accuracy 0.9270833333333334
Best accuracy so far: 0.9774305555555556, step 68, accuracy 0.9270833333333334
Best accuracy so far: 0.9774305555555556, step 69, accuracy 0.9288194444444444
Best accuracy so far: 0.9774305555555556, step 70, accuracy 0.9357638888888888
Best accuracy so far: 0.9774305555555556, step 71, accuracy 0.9270833333333334
Best accuracy so far: 0.9774305555555556, step 72, accuracy 0.9357638888888888
Best accuracy so far: 0.9774305555555556, step 73, accuracy 0.9392361111111112
Best accuracy so far: 0.9774305555555556, step 74, accuracy 0.9340277777777778
Best accuracy so far: 0.9774305555555556, step 75, accuracy 0.9375
Best accuracy so far: 0.9774305555555556, step 76, accuracy 0.9305555555555556
Best accuracy so far: 0.9774305555555556, step 77, accuracy 0.9340277777777778
Best accuracy so far: 0.9774305555555556, step 78, accuracy 0.9288194444444444
Best accuracy so far: 0.9774305555555556, step 79, accuracy 0.9270833333333334
Best accuracy so far: 0.9774305555555556, step 80, accuracy 0.9322916666666666
Best accuracy so far: 0.9774305555555556, step 81, accuracy 0.9253472222222222
Best accuracy so far: 0.9774305555555556, step 82, accuracy 0.9357638888888888
Best accuracy so far: 0.9774305555555556, step 83, accuracy 0.9409722222222222
Best accuracy so far: 0.9774305555555556, step 84, accuracy 0.9392361111111112
Best accuracy so far: 0.9774305555555556, step 85, accuracy 0.9392361111111112
Best accuracy so far: 0.9774305555555556, step 86, accuracy 0.9392361111111112
Best accuracy so far: 0.9774305555555556, step 87, accuracy 0.9340277777777778
Best accuracy so far: 0.9774305555555556, step 88, accuracy 0.9409722222222222
Best accuracy so far: 0.9774305555555556, step 89, accuracy 0.9288194444444444
Best accuracy so far: 0.9774305555555556, step 90, accuracy 0.9340277777777778
Best accuracy so far: 0.9774305555555556, step 91, accuracy 0.9288194444444444
Best accuracy so far: 0.9774305555555556, step 92, accuracy 0.9305555555555556
Best accuracy so far: 0.9774305555555556, step 93, accuracy 0.9322916666666666
Best accuracy so far: 0.9774305555555556, step 94, accuracy 0.9305555555555556
Best accuracy so far: 0.9774305555555556, step 95, accuracy 0.9201388888888888
Best accuracy so far: 0.9774305555555556, step 96, accuracy 0.921875
Best accuracy so far: 0.9774305555555556, step 97, accuracy 0.9253472222222222
Best accuracy so far: 0.9774305555555556, step 98, accuracy 0.9253472222222222
Best accuracy so far: 0.9774305555555556, step 99, accuracy 0.9322916666666666
Best accuracy so far: 0.9774305555555556, step 100, accuracy 0.9288194444444444
Best accuracy so far: 0.9774305555555556, step 101, accuracy 0.9340277777777778
Best accuracy so far: 0.9774305555555556, step 102, accuracy 0.9322916666666666
Best accuracy so far: 0.9774305555555556, step 103, accuracy 0.9496527777777778
Best accuracy so far: 0.9774305555555556, step 104, accuracy 0.9444444444444444
